ORGID,Industry,Region,Size,SecurityBudget,PrimarySecurityTeam,Maturity,Complexity,ExerciseFrequency,Threats,TTPs,Aims,Sector,Country,DataAtRisk,AttackPatterns,ActorMotivation
1,Remote Access Trojan,Asia,Medium,Medium,Hybrid,3,1,210,Remote Access Trojan;Web Shell,Vulnerability Scanning;Clear Command History;Collection,Gamaredon Group;Resource Hijacking;DDoS;Mispadu,Education,IN,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
2,Ransomware,Asia,Medium,Low,Hybrid,4,1,270,Ransomware;Phishing,Execution;Web Protocols;Replication Through Removable Media;IP Addresses;Reconnaissance,NightClub;Insider Threat;Exfiltration Over Unencrypted Non-C2 Protocol;Saint Bear,Technology,TW,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
3,Banking Trojan,North America,Large,Low,Outsourced,3,2,90,Banking Trojan;Data Breach;Remote Access Trojan,RC Scripts;Databases;Code Repositories;Resource Development;Establish Accounts;Execution;Disable or Modify Network Device Firewall,SodaMaster;Replication Through Removable Media;Poseidon Group;Crypto Miner,Government,US,Classified;Credentials;Internal;Medical;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
4,Ransomware,Africa,Small,High,Hybrid,2,3,210,Ransomware;Data Breach;Remote Access Trojan,DNS Server;Archive via Custom Method;Remote Email Collection;Collection,ShrinkLocker;Business Relationships;Web Shell,Education,ZA,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
5,Ransomware,North America,Small,Medium,Hybrid,3,1,120,Ransomware,Dynamic Data Exchange;Impact;Command Obfuscation;Replication Through Removable Media;Windows Management Instrumentation Event Subscription;Browser Information Discovery;Acquire Infrastructure;Resource Development,Pacu;Phishing;Search Engines;Ke3chang,Technology,US,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
6,Web Shell,Middle East,Large,High,Hybrid,1,2,150,Web Shell,Remote Desktop Protocol;Group Policy Modification;Lateral Tool Transfer;Reconnaissance;DNS Server,SodaMaster;Search Engines;Akira,Technology,AE,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
7,Phishing,Africa,Small,Low,In-house,4,2,360,Phishing;Ransomware,Lateral Movement;Credential Access;Discovery;Right-to-Left Override;Spearphishing Attachment;Acquire Infrastructure;Social Media Accounts,Saint Bear;DDoS;NightClub,Healthcare,KE,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
8,Phishing,North America,Medium,High,In-house,4,5,300,Phishing,IP Addresses;Email Addresses;Defense Evasion;Social Media Accounts;Right-to-Left Override,Remote Access Trojan;Pacu;Moonstone Sleet,Government,US,Classified;Credentials;Internal;Medical;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
9,Data Breach,North America,Small,High,Outsourced,2,1,90,Data Breach;Phishing;Ransomware,Silver Ticket;Exfiltration Over Unencrypted Non-C2 Protocol;Credential Access,Remote Service Session Hijacking;Data Breach;Poseidon Group;Pacu,Administrative,US,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
10,Crypto Miner,Africa,Large,High,Hybrid,2,2,30,Crypto Miner,Disable Crypto Hardware;Group Policy Discovery;Resource Development;Automated Collection;BITS Jobs;Credential Access;Private Keys;Environmental Keying;Defense Evasion;Gatekeeper Bypass,Web Portal Capture;Sandworm Team;P.A.S. Webshell,Government,ZA,Classified;Credentials;Internal;Medical;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
