EXID,ExCreation,ExThreat,ExTTPs,ExCategories,ExGroups,ExSoftware,ExStructure,ExMaturity,ExComplexity,ExLength,ExAudience,ExTradeCraftIntra,ExTradeCraftInter,ExTechniqueIDs,ExTactics,ExPlatforms,ExDataSources
1,2022-10-07,Ransomware,Windows Management Instrumentation Event Subscription;Lateral Movement;Initial Access;Command Obfuscation;Web Protocols;Browser Information Discovery;Domain Groups,Malware;Dark web;Crypto,Scattered Spider;Aquatic Panda;Windshift;HEXANE;Silence;Rancor;APT29;Sandworm Team;SilverTerrier;Higaisa,RGDoor,Response;Media;Validation;Impact;Detection;Privacy;Notification,3,5,150,Vulnerability Management;SecOps,0.915988,0.805511,T1546.003;T1021;T1195.002;T1027.010;T1071.001;T1217;T1069.002,command-and-control;defense-evasion;discovery;initial-access;lateral-movement;persistence;privilege-escalation,ESXi;IaaS;Linux;Network Devices;Windows;macOS,"Behavioral Detection of Domain Group Discovery;Compromised software/update chain (installer/write → first-run/child → egress/signature anomaly);Detection Strategy for Command Obfuscation;Behavioral Detection Strategy for Remote Service Logins and Post-Access Activity;Detection of Local Browser Artifact Access for Reconnaissance;Detection of Web Protocol-Based C2 Over HTTP, HTTPS, or WebSockets;Detect WMI Event Subscription for Persistence via WmiPrvSE Process and MOF Compilation"
2,2021-09-16,Ransomware;Data Breach,Code Signing;Collection;Privilege Escalation;Domain Groups;Dynamic Data Exchange;Impact;Password Guessing;Registry Run Keys / Startup Folder,Financial;Exfiltration,Tropic Trooper;Higaisa;Dark Caracal;Rocke;APT18;Patchwork;Turla;Gallmaker;Inception,Gootloader;Lucifer;GoBear,Notification;Privacy;Detection;Validation;Legal;Exfiltration;Media;Impact;Developments;Response,1,5,105,Media;Network,0.930595,0.995813,T1553.002;T1039;T1543.002;T1069.002;T1559.002;T1485;T1110.001;T1547.001,collection;credential-access;defense-evasion;discovery;execution;impact;persistence;privilege-escalation,Containers;ESXi;IaaS;Identity Provider;Linux;Network Devices;Office Suite;SaaS;Windows;macOS,Behavioral Detection of Domain Group Discovery;Detect Registry and Startup Folder Persistence (Windows);Detection of Data Destruction Across Platforms via Mass Overwrite and Deletion Patterns;Detect Suspicious or Malicious Code Signing Abuse;Password Guessing via Multi-Source Authentication Failure Correlation;Detection of Systemd Service Creation or Modification on Linux;Detect Abuse of Dynamic Data Exchange (T1559.002);Detection Strategy for Data from Network Shared Drive
3,2024-03-05,Ransomware,Inhibit System Recovery;Business Relationships;Exfiltration;Windows Service;Execution;Mark-of-the-Web Bypass;Application Layer Protocol;Defense Evasion,Ransom negotiation;Malware,Agrius;admin@338;Blue Mockingbird;Sandworm Team;Chimera;INC Ransom;Wizard Spider;Earth Lusca;Suckfly;FIN6,AppleJeus;WhisperGate;HOPLIGHT,Response;Validation;Legal;Developments;Notification;Exfiltration;Detection;Impact;Media;Privacy,1,5,90,Threat Intel;Exec,0.661066,0.761951,T1490;T1591.002;T1537;T1543.003;T1059.003;T1553.005;T1071;T1027.004,command-and-control;defense-evasion;execution;exfiltration;impact;persistence;privilege-escalation;reconnaissance,Containers;ESXi;IaaS;Linux;Network Devices;Office Suite;PRE;SaaS;Windows;macOS,Detect Mark-of-the-Web (MOTW) Bypass via Container and Disk Image Files;Detection Strategy for Compile After Delivery - Source Code to Executable Transformation;Detection of Business Relationships;Detection of Windows Service Creation or Modification;Detection of Command and Control Over Application Layer Protocols;Cross-Platform Detection of Data Transfer to Cloud Account;Behavioral Detection of Windows Command Shell Execution;Behavioral Detection for T1490 - Inhibit System Recovery
4,2024-10-16,Crypto Miner,Environmental Keying;Obfuscated Files or Information;Private Keys,Botnet;Malware,Sandworm Team;Gamaredon Group;Scattered Spider;APT41;RedCurl;Kimsuky;APT3;Equation;Ke3chang;BlackOasis;Windshift;BackdoorDiplomacy;TeamTNT;APT37,BUSHWALK;KillDisk;Cuba;Sliver;Lumma Stealer,Validation;Exfiltration;Impact;Notification;Legal;Media;Detection;Developments,2,4,90,Network;Threat Intel,0.071521,0.743165,T1480.001;T1027;T1552.004,credential-access;defense-evasion,ESXi;Linux;Network Devices;Windows;macOS,Detect Suspicious Access to Private Key Files and Export Attempts Across Platforms;Environmental Keying Discovery-to-Decryption Behavioral Chain Detection Strategy;Behavioral Detection of Obfuscated Files or Information
5,2020-03-13,Supply Chain,Identify Business Tempo;Acquire Access;Network Trust Dependencies;Hijack Execution Flow;Initial Access;Code Signing Certificates;SEO Poisoning;Defense Evasion,Malware;Dark web,Wizard Spider;Kimsuky;Moses Staff;Saint Bear;Medusa Group;Scattered Spider,TONESHELL;Gazer;Metamorfo;Black Basta,Impact;Notification;Developments;Detection,4,2,60,Exec;Network,0.152801,1.0,T1591.003;T1650;T1590.003;T1574;T1195.002;T1588.003;T1608.006;T1553.002,defense-evasion;initial-access;persistence;privilege-escalation;reconnaissance;resource-development,Linux;PRE;Windows;macOS,Detection Strategy for Hijack Execution Flow across OS platforms.;Detection of Network Trust Dependencies;Detection of Identify Business Tempo;Compromised software/update chain (installer/write → first-run/child → egress/signature anomaly);Detect Suspicious or Malicious Code Signing Abuse;Detection of Acquire Access;Detection of SEO Poisoning;Detection of Code Signing Certificates
6,2021-10-20,Insider Threat,VNC;Web Services;SSH Hijacking;Disk Wipe,Impact;Financial;Exfiltration;Data breach,Magic Hound;Gamaredon Group;APT17;APT29;TA2541;Kimsuky;TA578;Earth Lusca;ZIRCONIUM;APT28,DanBot,Detection;Validation;Impact;Media,2,4,105,SecOps;Legal,0.37846,0.871075,T1021.005;T1583.006;T1563.001;T1561,impact;lateral-movement;resource-development,Linux;Network Devices;PRE;Windows;macOS,Behavioral Detection of Unauthorized VNC Remote Control Sessions;Detection Strategy for SSH Session Hijacking;Detection Strategy for Disk Wipe via Direct Disk Access and Destructive Commands;Detection of Web Services
7,2022-10-07,Banking Trojan,Bypass User Account Control;Defense Evasion;Resource Development;Privilege Escalation;Multi-Factor Authentication Request Generation,Botnet;Data breach;Exfiltration;C2,Lotus Blossom;FIN6;Threat Group-3390;Scattered Spider;Blue Mockingbird;Storm-1811;Contagious Interview;Patchwork;APT41;Earth Lusca;LAPSUS$;APT42;Cobalt Group;MuddyWater;Kimsuky,Qilin;RCSession,Notification;Privacy;Validation;Response,4,2,75,Threat Intel;SecOps,0.44416,0.735676,T1548.002;T1656;T1586.003;T1134;T1621,credential-access;defense-evasion;privilege-escalation;resource-development,IaaS;Identity Provider;Linux;Office Suite;PRE;SaaS;Windows;macOS,Detection Strategy for Impersonation;Detection of Cloud Accounts;Detection Strategy for Multi-Factor Authentication Request Generation (T1621);Behavior-chain detection for T1134 Access Token Manipulation on Windows;Detection Strategy for T1548.002 – Bypass User Account Control (UAC)
8,2022-09-28,Web Shell;Remote Access Trojan,Defense Evasion;RC Scripts;Vulnerability Scanning;Collection;DNS Server;Browser Information Discovery,Exfiltration;C2;Initial Access,Turla;Fox Kitten;Sowbug,HiddenWasp;PoshC2,Notification;Response;Privacy;Detection;Exfiltration;Developments;Validation;Media;Legal,1,4,225,Threat Intel;SecOps,0.733862,0.61804,T1218.003;T1037.004;T1595.002;T1560.001;T1583.002;T1217,collection;defense-evasion;discovery;persistence;privilege-escalation;reconnaissance;resource-development,ESXi;Linux;Network Devices;PRE;Windows;macOS,Detection of Local Browser Artifact Access for Reconnaissance;Detection of DNS Server;Detection of Vulnerability Scanning;Detection of Malicious Profile Installation via CMSTP.exe;Detect Archiving via Utility (T1560.001);Detection Strategy for Boot or Logon Initialization Scripts: RC Scripts
9,2024-07-12,Phishing,Business Relationships;Defense Evasion;XSL Script Processing;IP Addresses;Email Addresses;Parent PID Spoofing;Reconnaissance,Data breach;Initial Access;Malware,Magic Hound;Higaisa;Volt Typhoon;Silent Librarian;TA551;Moonstone Sleet;APT32;Andariel;LAPSUS$;HEXANE;Lazarus Group;Cobalt Group;EXOTIC LILY;Dragonfly;Kimsuky,Cobalt Strike;PipeMon;AADInternals,Validation;Privacy;Notification,2,4,30,Legal;SecOps,0.571184,0.990309,T1591.002;T1672;T1220;T1590.005;T1589.002;T1134.004;T1590.001,defense-evasion;privilege-escalation;reconnaissance,Linux;Office Suite;PRE;Windows;macOS,Detect XSL Script Abuse via msxsl and wmic;Detection of Business Relationships;Behavior-chain detection for T1134.004 Access Token Manipulation: Parent PID Spoofing (Windows);Detection of IP Addresses;Detection of Email Addresses;Detection of Domain Properties;Detection Strategy for Email Spoofing
10,2022-08-15,Remote Access Trojan;Supply Chain,Resource Development;Discovery;Search Victim-Owned Websites;Execution;Network Devices;Remote Access Tools,Malware;Dark web,INC Ransom;HAFNIUM;Tropic Trooper;Volt Typhoon,KGH_SPY;SUGARDUMP;ShimRatReporter,Notification;Privacy;Developments;Exfiltration;Response;Detection;Media;Legal;Validation,1,2,120,Vulnerability Management;SecOps,0.489931,0.79279,T1583.006;T1518;T1594;T1059.013;T1584.008;T1219,command-and-control;discovery;execution;reconnaissance;resource-development,Containers;ESXi;IaaS;Linux;PRE;Windows;macOS,Container CLI and API Abuse via Docker/Kubernetes (T1059.013);Detection of Network Devices;Detection of Web Services;Multi-Platform Software Discovery Behavior Chain;Behavior-Chain Detection for Remote Access Tools (Tool-Agnostic);Detection of Search Victim-Owned Websites
